Job ID,Title,Company,Work Location,Work Style,About Job,Experience required,Skills required,HR Name,HR Link,Resume,Re-posted,Date Posted,Date Applied,Job Link,External Job link,Questions Found,Connect Request
4167890083,Internal Controls Master Data Jr. Analyst,Air Liquid,r Liquid,r Liquid,"Acerca del empleo
How will you CONTRIBUTE and GROW?

This position consists mainly of maintaining a master vendor and customer database. The Vendor / Customer Master Analyst reports to the ICCI Vendor Master Team Lead/Supervisor.

Job Responsibilities

Create and maintain a vendor database per policy and procedures defined for the Vendor & Customer Management process.
Create and maintain customer database 
Work with experienced analysts to ensure and validate all required documentation is received, reviewed and saved for audit purposes.
Validate all new vendor setup requests and comply with internal Air Liquide procedures (e.g. ‘call back’ procedure).
Ensure proper documentation is provided for new Customers and new customer sites such as D&B, trade references and Sales Tax Certificates prior to setup.
Perform yearly Vendor Master database clean up per policy and procedure requirements.
Collaborate and coordinate with Supply Chain Management, Purchasing and Accounts Payable on new and existing vendor setup requests.


Continuous Improvement:

Work closely with members of the BSC team and local teams such as Procurement and Billing.
Find new ways to improve the efficiency of the process.
Make recommendations and participate in the decision-making process regarding process improvement.


Safety/Quality:

Respect all Air Liquide safety policies, procedures and programs.
Participate in the promotion of Air Liquide's safety objectives. Know and follow all procedures as outlined in Air Liquide's Quality Manual.


___________________

Are you a MATCH?

Qualifications

Education:

High school degree.
Bachelor's Degree (in progress) in Accounting, Finance, or Management and/or equivalent experience is preferred.


Language Requirements:

Intermediate / Advanced English. Level B2.


Knowledge and Skills:

Strong organizational skills necessary to handle multiple tasks.
Working knowledge of Oracle and / or SAP is desirable.
Ability to conceptualize and assimilate data in order to recognize and address problems with direct supervisor.
Ability to work independently and to participate in continuous improvement of processes.
Digital mindset for systems automation and connectivity.
Continuous improvement mindset for process improvements.
Must exhibit good verbal and written communication skills as well as excellent reading comprehension.


Our Differences make our Performance

At Air Liquide, we are committed to build a diverse and inclusive workplace that embraces the diversity of our employees, our customers, patients, community stakeholders and cultures across the world.

We welcome and consider applications from all qualified applicants, regardless of their background. We strongly believe a diverse organization opens up opportunities for people to express their talent, both individually and collectively and it helps foster our ability to innovate by living our fundamentals, acting for our success and creating an engaging environment in a changing world.",0,Needs an AI,María Constanza Belforte ,https://www.linkedin.com/in/mar%C3%ADa-constanza-belforte-10424239,Pending,False,Unknown,Pending,https://www.linkedin.com/jobs/view/4167890083,https://airliquidehr.wd3.myworkdayjobs.com/AirLiquideExternalCareer/job/Urbana-3---Support-functions---BSC---SAM/Internal-Controls-Master-Data-Jr-Analyst_R10063267/apply?source=LinkedIn,,In Development
4164545735,CAMPAIGN INSIGHTS,Banco Macr,nco Macr,nco Macr,"Acerca del empleo
📢¡SUMATE AL EQUIPO DE MACRO COMO CAMPAIGN INSIGHTS! 📢


¿Te gusta el análisis de datos, pensar estrategias para que la interacción con nuestros clientes sea la mejor?
Esta búsqueda puede ser para vos!


¿Cual es el desafío principal del Rol?

Optimizar los resultados y efectividad de la comunicación

¿Cuáles serán sus tareas principales? 📝
Responsable de definir las audiencias e identificar oportunidades de segmentación y personalización para cumplir con los objetivos de las áreas en términos de activación y conversión.
Identificar oportunidades de mejora en las estrategias de comunicación basadas en los datos, recomendando cambios para aumentar la efectividad y eficiencia de las comunicaciones en los distintos canales.
Colaborar en la estrategia de personalización en los canales afectados a Marketing Cloud.
Anticipar comportamientos del cliente y tendencias del mercado, ayudando a planificar acciones e interacciones con el cliente futuras a través del análisis de datos.
Generar tableros de medición para monitorear los KPI's de comunicaciones de las áreas que tiene como foco de atención
Brindar soporte a las áreas internas para la correcta medición y comprensión de los resultados que estamos obteniendo con la oferta y la estrategia de comunicación.
Evaluar junto al Campaign Operator el rendimiento de las comunicaciones a través de diferentes canales (email, redes sociales, publicidad digital, app mobile, etc.) afectados a las comunicaciones Esto incluye la medición de KPI's como la tasa de apertura de emails, clicks, conversiones y retorno de la inversión (ROI).
Trabajar con el equipo de Insights para integrar información relevante en el descubrimiento y diseño de nuevas audiencias, oportunidades de negocio y modelos de propensión.
Realizar los controles y análisis de calidad de los datos necesarios dentro de Salesforce, asegurando que los datos de producción sean correctos para cada campaña.


¿Qué esperamos de vos?
Lic. en Actuario, Economía, Adm. de Empresas o formación afín y/o complementaria en análisis de Datos
Conocimiento avanzado de SQL aplicado y experiencia con bases de datos relacionales.
Experiencia armando y optimizando pipelines de data para análisis y segmentación.
Certificaciones de Salesforce (Deseable) en Data Cloud, Datorama y/o Tableau.
Flexibilidad, buenas habilidades de comunicación e interpersonales, planificación, trabajo en equipo

Esquema Híbrido

📍Lugar de trabajo, CABA",0,Needs an AI,Daniela Zaballa,https://www.linkedin.com/in/daniela-zaballa,Pending,False,Unknown,Pending,https://www.linkedin.com/jobs/view/4164545735,https://airliquidehr.wd3.myworkdayjobs.com/es/AirLiquideExternalCareer/job/Urbana-3---Support-functions---BSC---SAM/Internal-Controls-Master-Data-Jr-Analyst_R10063267/apply?source=LinkedIn,,In Development
4153873877,Business Intelligence Sr.,Naranja ,ranja,ranja ,"Acerca del empleo
#SomosNaranjaX y nos une el propósito de trabajar por la inclusión y la educación financiera de millones de personas.
Más de 8 millones de clientes nos eligen cada día porque confían en Naranja X para alcanzar sus sueños.
Estamos creando un ecosistema de soluciones tecnológicas financieras que se diferencia por ofrecer la mejor experiencia y facilidad en el acceso.

¿Querés ser protagonista de esta historia e impulsar la transformación financiera de millones de personas? ¡Súmate!

¡Te contamos más del puesto!

Como Business Intelligence Sr. tu principal desafío será:

Explorar y analizar datos a través de queries, scripts o dashboard, identificando brechas claves, oportunidades de crecimiento y detección de insights y métricas de valor agregado para responder a problemas y necesidades de nuestr@s users para tomar decisiones con una mirada estratégica.
Monitorear las métricas de negocio claves, la evaluación del comportamiento de nuestr@s users en la App y los proyectos de análisis ad-hoc en curso.
Diseñar dashboards de datos para el seguimiento y la elaboración de informes.
Liderar la construcción de casos de negocio y evaluar su factibilidad, que permitan luego pensar soluciones para mover los KRs de Naranja X.
Identificar oportunidades en la industria, compartiendo con el equipo tendencias de mercado, soluciones de vanguardia y casos de éxito aplicables a la evolución del negocio.
Apoyar al/la Product Manager en el proceso de planificación estratégica en cada Q mediante la realización de evaluaciones, tendencias tecnológicas de consumo y el panorama competitivo.
Liderar reuniones, lograr acuerdos, hacer seguimiento y dar visibilidad a los diversos stakeholders.

¿Qué buscamos?

Experiencia de al menos 3 años en roles de Business Intelligence o a fines.
Experiencia en Data Analytics con manejo de tools como Amplitude, PowerBI o relacionadas a la explotación y análisis de datos (excluyente).
Dominio avanzado de SQL. (excluyente)
Que cuentes con habilidades de comunicación que te permitan transmitir las ideas y conclusiones de forma clara, concisa y adaptadas al público que tengas frente a vos.

Sumarte a la Experiencia X es:

🌴 Días libres NX desde el inicio
💸 Ajustes de sueldo periódicos que acompañan el contexto económico
🏆 Bonos e incentivos por performance.
❤️ Cobertura de Prepaga Premium para vos y tu familia
🤩 Escalá tu desarrollo a través de programas de capacitación constante y plataformas de E-learning (Udemy)
👶 Licencia extendida y flexibilidad al regreso para gestantes y no gestantes. Licencias especiales para el cuidado de hij@
▶️ Y muchos beneficios más para que Naranja X sea el lugar para desarrollar todo tu potencial

En Naranja X promovemos un espacio de trabajo seguro e inclusivo, donde podés desplegar tu talento, tus ideas y tu magia.
Trabajamos para que nuestras búsquedas y propuestas sean abiertas y equitativas para todas las personas: con o sin discapacidad, de distintos géneros, identidades de género, orientaciones sexuales, nacionalidades, religiones, edades, ideas y opiniones. ¡Sabemos que mientras más diversos sean nuestros equipos, mayor será nuestra capacidad de agregar valor a las finanzas de millones de personas!",0,Needs an AI,María Sofía Gardoni ,https://www.linkedin.com/in/sofiagardoni,Pending,False,Unknown,Pending,https://www.linkedin.com/jobs/view/4153873877,https://www.linkedin.com/jobs/search/?currentJobId=4153873877&keywords=Analista%20de%20datos,,In Development
4148668902,Pasante de Sistemas,MetroGA,troGA,troGA,"Acerca del empleo
Nos encontramos en la búsqueda de un/a Pasante para sumarse al equipo de la Gerencia de Sistemas y Tecnologías.

¿Qué estamos buscando?
Estudiante intermedio de carreras de Sistemas (Ingeniería en Informática o Ingeniería de Sistemas; Ciencias de la Computación; Análisis de datos; Administración de Sistemas, etc.) – Excluyente.
Personas íntegras con orientación al cliente y respeto por la seguridad y el medio ambiente.

¿Qué esperamos de vos?
Ganas de aprender y desarrollar tu carrera en nuestra industria, resolver inquietudes y mucha iniciativa.
Disposición para trabajar en equipo, en entornos cambiantes y desafiantes.

Son competencias valoradas:
Conocimiento de herramientas de BI, Power Bi u otro.
Capacidad Analítica.
Conocimientos de análisis funcional.
Lenguaje SQL.

Características del puesto:
🕑20 hs semanales.
💻Modalidad de trabajo híbrida (3 presencial x 2 home office)
💡Zona de trabajo: Barracas.
📋Programa de hasta 18 meses.
📍Asignación Estimulo + Prepaga 1er Nivel
📚Días adicionales de estudio
🎯Formación en nuestra Industria
💸 Dtos en Club de Beneficios
🏋️‍♂️ Dtos en Wellhub

Se trata de una gran oportunidad para quien desee incorporarse a una Compañía con muy buen clima laboral.
¡Te invitamos a formar parte de MetroGAS!

Si te sentís identificado con nuestra propuesta, envianos tu cv a empleo@metrogas.com.ar con el certificado de alumno/a regular y analítico, indicando en el asunto posición de referencia ""Pasante de Sistemas""",0,Needs an AI,Unknown,Unknown,Pending,False,Unknown,Pending,https://www.linkedin.com/jobs/view/4148668902,https://www.linkedin.com/jobs/search/?currentJobId=4148668902&keywords=Analista%20Power%20BI,,In Development
4106722592,Analista BI,Sherwin-William,erwin-William,erwin-William,"Acerca del empleo
Job Description

Buscamos un profesional de las carreras de Comercialización, Administración, Economía o afín que cuente con al menos 2 años de experiencia en el área Comercial / Business Intelligence llevando a cabo la gestión administrativa del sector como también el análisis de datos claves para impulsar el desarrollo del área.

Será responsable de generar reportes, así como recopilar, analizar y presentar datos internos y de mercado para la toma de decisiones.

Adicionalmente será responsable de la evaluación de los productos de la competencia y la demanda de clientes para generar información para futuras acciones comerciales.

También debería gestionar pedidos de clientes, ingresarlos al sistema y darles seguimiento, implementando informes que den soporte a la fuerza de ventas.

Algunas de sus tareas serán:

Atención telefónica a Clientes y Vendedores
Ingreso modificación y anulación de pedidos. 
Elaboración de reportes (BI, Tableau, Oracle Ebs)
Recopilación de datos de diversas fuentes 
Limpieza y análisis de base de datos 
Identificar patrones y tendencias en los datos 
Generar inteligencia financiera
Hacer recomendaciones para mejorar procesos y apoyar la toma de decisiones 
Control de promociones especiales 

Es excluyente contar con conocimientos sólidos de Tableau, Power BI y un manejo de office avanzado. Es deseable contar con un dominio intermedio de idioma inglés.

Las competencias claves para el puesto incluyen capacidad de análisis, habilidad para las relaciones interpersonales, orientación a los resultados y capacidad de organización.

About Us

Aquí, creemos que no hay un solo camino hacia el éxito, creemos en las carreras que crecen con usted. Sea cual sea usted o de donde sea que venga en el mundo, hay un lugar para usted en Sherwin-Williams. Le brindamos la oportunidad de explorar su curiosidad e impulsarnos hacia adelante. Le daremos el espacio para compartir sus fortalezas y queremos que nos muestre lo que puede hacer. ¡Puede innovar, crecer y descubrir en un lugar donde pueda prosperar!

Recuerde que los miembros del equipo de contratación de Sherwin-Williams nunca solicitarán a un candidato que proporcione un pago, ni le pedirán información financiera o información personal confidencial como números de identificación nacional, fecha de nacimiento o números de cuenta bancaria durante el proceso de solicitud.",0,Needs an AI,Unknown,Unknown,Pending,False,Unknown,Pending,https://www.linkedin.com/jobs/view/4106722592,https://ejhp.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2/job/2427028?utm_medium=jobshare,,In Development
4157958643,BI Sr Analyst,PedidosY,didosY,didosY,"Acerca del empleo
Conoce algunos de los desafíos que te esperan

Tenemos una oportunidad para vos, estamos buscando BI Sr Analyst para nuestro equipo de Quick Commerce en Argentina.

Serás responsable de identificar oportunidades dentro del área de Business Development, obtener y procesar datos de diversas fuentes, garantizar su calidad y desarrollar herramientas analíticas y reportes que faciliten la toma de decisiones estratégicas.

¿Qué desafíos te esperan?

Colaborar con los equipos Comerciales y de Operaciones para entender y validar las necesidades del negocio con el objetivo de diseñar y construir herramientas analíticas que faciliten la comprensión y toma de decisiones.
Identificar de manera proactiva oportunidades, dentro del área de Business Development, y abordarlas utilizando sólidas herramientas de análisis de datos.
Realizar la extracción, limpieza y transformación de la información con el objetivo de recopilar y consolidar datos relevantes que permitan comprender el rendimiento del negocio.
Estructurar y analizar datos para obtener valiosos insights y recomendaciones estratégicas para el negocio.

¿Qué esperamos de ti?

¿Qué tendrás que aportar?

Estudiante/ Profesional de carreras como ingeniería, administración de empresas, economía, ciencias exactas o afines.
+2 años de experiencia en posiciones similares.
Dominio avanzado de SQL y Excel.
Dominio intermedio de inglés.
Perfil proactivo y con autonomía, fuerte orientación al análisis de información.
Experiencia con herramientas de visualización (Data Studio, Power BI, otras).

¿Quiénes somos?

Pedidosya es parte de Delivery Hero, compañía líder mundial en delivery que opera en más de 70 países en todo el mundo. PedidosYa es la compañía de tecnología líder en delivery y quick commerce de Latinoamérica. Es una plataforma simple, rápida y accesible que conecta a una red de millones de personas usuarias, comercios y personas repartidoras a una gran variedad de productos y servicios que ofrece la comunidad. La compañía, que opera en 15 países de Latinoamérica lanzó en 2020 PedidosYa Market, el primer mercado 100% digital que entrega alimentos y artículos para el hogar desde los 10 minutos tras haber realizado el pedido. Delivery Hero cotiza en la Bolsa de Frankfurt desde 2017 y forma parte del índice bursátil MDAX.

En PedidosYa podrás

¿Qué podés esperar de PedidosYa?

Aprender en un ambiente dinámico, donde puedes explorar tu potencial y tus ideas al máximo.
Trabajar jugando en equipo, compartiendo conocimiento, experiencias y desafíos.
Tener la capacidad de generar impacto y crear en cada momento. Creamos una nueva industria y la reinventamos cada día.
Una empresa en pleno crecimiento, con mucho contacto internacional en Latam y todo el mundo.
Un lugar donde puedas ser quien eres y disfrutar lo que haces todos los días.
Flexibilidad y autonomía para definir junto con tu equipo la mejor manera de trabajar.

La diversidad de talento potencia nuestra Cooltura y nuestra organización. Jugamos en equipo en todo lo que hacemos, y lo que más nos gusta de eso es que promovemos la creación de equipos diversos e inclusivos que puedan aportar diferentes perspectivas a PedidosYa. Nuestras oportunidades laborales están abiertas a todas las personas, independientemente de su identidad de género, orientación sexual, origen étnico, religión, edad, discapacidad y/o otras características individuales.

En caso de necesitar algún ajuste razonable o accesibilidad particular para tener la entrevista, por favor no dejes de aclararlo en tu postulación. Además, siéntete libre de indicarnos tus pronombres (él/ella/elle) desde el primer contacto.

#CoolturaPeYa #LaDiversidadNosPotencia",0,Needs an AI,Unknown,Unknown,Pending,False,Unknown,Pending,https://www.linkedin.com/jobs/view/4157958643,https://empleos.pedidosya.com/job/bi-sr-analyst-in-buenos-aires-argentina-jid-905?_atxsrc=LinkedIn&utm_source=LinkedIn,,In Development
4094760038,Líder funcional y técnico - modelador de datos,PwC Argentin,C Argentin,C Argentin,"Acerca del empleo
PwC selecciona para GRUPO SAN CRISTÓBAL:

Líder funcional y técnico - modelador de datos

Requisitos excluyentes:
Experiencia liderando equipos, gestionando proyectos, siendo referente con los clientes.
Experiencia en comprender las necesidades, para proporcionar soluciones efectivas.
Experiencia en documentación funcional de requerimientos, principalmente en la redacción de historias de usuario.
Experiencia en diseño high level y low level de soluciones, modelado de tablas, mapeo de datos, lenguaje SQL, armado de queries.
Conocimientos del ciclo de desarrollo de un producto de punta a punta desde el inicio.

Principales funciones:
Liderar el equipo, armar plan del proyecto, recursos, optimización de tiempos, estimación de horas.
Ser referente del área técnica, fundamentalmente en lo relacionado al modelado de datos y la generación de modelos de sistemas escalables.
Ser nexo entre el equipo técnico y el área de negocio.
Asegurar la alineación de entregables con las expectativas del cliente y el alcance del proyecto.
Identificar el aporte que genera el activo y ponderación del valor de negocio.
Identificar y analizar riesgos potenciales y toma de acciones preventivas.
Detectar posibles omisiones en el pedido de usuario.
Validar y obtener la aprobación de las definiciones del usuario comprometiendo a los usuarios involucrados.
Generar la documentación funcional completa.
Establecer con los usuarios criterios de aceptación y pruebas que se utilizarán para comprobar el cumplimiento de los entregables.
Generar y ejecutar los casos de prueba funcionales en relación con las características del proyecto.

Se ofrece: 
La oportunidad de ser parte de una organización en pleno auge, con buen nivel de remuneración, posibilidades de crecimiento, trabajo completamente remoto y beneficios adicionales.",0,Needs an AI,Elisa Liepmann ,https://www.linkedin.com/in/elisaliepmann,Pending,False,Unknown,Pending,https://www.linkedin.com/jobs/view/4094760038,https://empleos.pedidosya.com/job/bi-sr-analyst-in-buenos-aires-argentina-jid-905?_atxsrc=LinkedIn&utm_source=LinkedIn,,In Development
4153843746,Business Analyst,Ual,l,l,"Acerca del empleo
#Somos Ualá, una fintech que nació para trabajar por la inclusión financiera con un producto digital innovador. Queremos que más gente tenga acceso al sistema financiero, que puedan realizar sus transacciones personales de manera más fácil, transparente, cuándo quieran y dónde quieran!

Descripción:
Definir la estrategia de la nueva vertical de seguros, integrando insights de usuarios y tendencias del sector, y potenciar su crecimiento mediante análisis de productos, modelización financiera y colaboración interfuncional. Esta posición es clave para sentar bases sólidas y acelerar su desarrollo con una estrategia orientada a datos.

Vas a tener el desafío de...
Definición de Estrategia: Colaborar en la creación y ejecución de la estrategia de la nueva vertical de seguros, alineando las iniciativas con los objetivos de la compañía.
Análisis de Mercado: Identificar oportunidades, analizar tendencias y realizar benchmarks de la competencia para optimizar la propuesta de valor.
Modelización de Datos y Finanzas: Construir modelos financieros para evaluar viabilidad, rentabilidad y pricing de productos de seguros, considerando costos, ingresos y KPIs relevantes.
Desarrollo de Producto: Apoyar la definición del roadmap de productos de seguros, asegurando una oferta competitiva y alineada con las necesidades del mercado.
Análisis de Usuarios y Riesgos: Evaluar el comportamiento de clientes, tasas de adopción y factores de riesgo para optimizar la experiencia de usuario y la estrategia comercial.
Colaboración Interfuncional: Trabajar con equipos de tecnología, actuarios, legal, marketing y operaciones para estructurar una oferta escalable.

Para tomar este rol necesitamos que cuentes con...
Experiencia en estrategia de producto, análisis de datos y modelización financiera, preferentemente en fintech, insurtech o industrias relacionadas.
Conocimiento de herramientas de análisis de datos como Excel, SQL y plataformas de visualización (Tableau, Power BI, Looker).
Capacidad para analizar datos de mercado, comportamiento de usuarios y KPIs de negocio.
Interés en seguros digitales, embedded insurance, tendencias insurtech y modelos disruptivos.
Fuertes habilidades analíticas y capacidad para traducir datos en decisiones estratégicas.
Excelentes habilidades de comunicación y capacidad para trabajar con equipos multifuncionales.
Nivel de inglés avanzado (escrito y oral).

Queremos compartir con vos...
El desarrollo conjunto de soluciones innovadoras con impacto social, en un ambiente laboral flexible, en crecimiento y de enorme potencial de desarrollo profesional.
Te ofrecemos descuentos en capacitación y en entidades educativas de primer nivel.
Apostamos al balance entre la vida profesional y personal: contamos con tres semanas de vacaciones, licencias extendidas por maternidad y paternidad, día libre de cumpleaños, y más.
Además te ofrecemos: cobertura de medicina prepaga para grupo familiar, descuento en gimnasio, reintegro por almuerzo, bono por referidos, entre otros beneficios.

¡Queremos que te sumes, porque solo el mejor equipo hace el mejor producto!",0,Needs an AI,Unknown,Unknown,Pending,False,Unknown,Pending,https://www.linkedin.com/jobs/view/4153843746,https://empleos.pedidosya.com/job/bi-sr-analyst-in-buenos-aires-argentina-jid-905?_atxsrc=LinkedIn&utm_source=LinkedIn,,In Development
4175544549,Especialista de Datos Ssr.,Empresa Confidencia,presa Confidencia,presa Confidencia,"Acerca del empleo
Importante empresa se encuentra en búsqueda de un Especialista de Datos Ssr.

La misión de la posición será generar el análisis y los reportes que permitan monitorear los KPIs clave del negocio , proyectar el crecimiento y la evolución de la red de acceso.

Funciones:
. Desarrollar y mantener los dashboards con indicadores clave
. Planificar la capacidad de la red y realizar proyecciones precisas sobre su evolución mediante la explotación de datos históricos y herramientas de predicción de datos

Requerimientos:
1. Experiencia en Bases de datos SQL
2. Experiencia en herramientas de visualización de datos 
3. Conocimiento en telecomunicaciones (Deseable redes de acceso)",0,Needs an AI,Unknown,Unknown,Pending,False,Unknown,Pending,https://www.linkedin.com/jobs/view/4175544549,https://empleos.pedidosya.com/job/bi-sr-analyst-in-buenos-aires-argentina-jid-905?_atxsrc=LinkedIn&utm_source=LinkedIn,,In Development
4156979966,Data Scientist,Practia Globa,actia Globa,actia Globa,"Acerca del empleo
¿Quiénes somos?
Somos la empresa de tecnología y negocios más prestigiosa de Iberoamérica. Nuestra red regional permite responder rápidamente a la demanda, con especialistas en cada problemática y aplicando innovación tecnológica a cada negocio.

📢 ¿Qué buscamos?
Nos encontramos en la búsqueda de Data Scientist.


📢 ¿Qué tareas deberá hacer el perfil que se sume?
Desarrollo con Python y/o R.
Conocimiento de librerías como pandas y sklearn. También librerías de visualización, como matplotlib, pyplot, seaborn.
Lenguaje de consulta SQL.
Aplicar las siguientes técnicas: modelos de regresión, clasificación, series temporales, árboles, ensambles, redes neuronales, técnicas de clustering y reducción de dimensionalidad.


¿Qué necesitamos? 💪

2 años de experiencia como científico/a de datos.
Experiencia en trabajo en modelos predictivos.
Experiencia en IA Generativa.
Deseable experiencia en metodologías ágiles.
Poseer conocimientos sobre modelos supervisados y no supervisados, evaluación de modelos, balanceo de datos.
Tener conocimientos en temas de machine learning.
Conocimiento de estadística básica aplicada a Ciencia de Datos
Capacidad de transmisión de conocimientos y presentación de resultados de forma asertiva
Conocimiento de buenas prácticas de programación
Manejo de plataformas Cloud (preferentemente Azure)

♥ ¿Qué beneficios te ofrecemos?
Licencia extendida para días de estudio.
Días de licencia personal para usar como más te guste.
Días de home office.
La posibilidad de crecer profesionalmente en un ambiente dinámico y flexible.
Formación profesional relacionada con el perfil.
Capacitación en herramientas de gestión, liderazgo y tecnologías.
Descuentos en Universidades e Instituciones Tecnológicas para Maestrías, Postgrados y Cursos.
Clases de Inglés In company.
Prepaga de primer nivel para el grupo familiar.",0,Needs an AI,Florencia Lebboroni ,https://www.linkedin.com/in/florencia-lebboroni-47a251138,Pending,False,Unknown,Pending,https://www.linkedin.com/jobs/view/4156979966,https://www.linkedin.com/jobs/search/?currentJobId=4156979966&keywords=Data%20Science,,In Development
